Episode,Agent1Reward,Agent2Reward,Agent1AvgR,Agent2AvgR,Agent1Wins,Agent2Wins,Steps,Epsilon
0,13.100000000000003,-11.9,-6.475,0.025,14,15,19,0.3651
1,4.0,-11.0,-6.475,0.025,14,15,10,0.3633
2,3.0999999999999996,-11.9,-6.475,0.025,14,15,19,0.3615
3,-11.0,4.0,-6.475,0.025,14,15,10,0.3597
4,14.5,-10.5,-6.475,0.025,15,15,5,0.3579
5,3.3,-11.7,-6.475,0.025,15,15,17,0.3561
6,4.1000000000000005,-0.8999999999999986,-6.475,0.025,15,16,9,0.3543
7,-12.8,-12.8,-6.475,0.025,15,16,28,0.3525
8,-11.5,3.5,-6.475,0.025,15,16,15,0.3508
9,-13.200000000000001,1.799999999999999,-6.475,0.025,15,16,32,0.3490
10,1.6999999999999988,-13.3,-6.475,0.025,15,16,33,0.3473
11,-11.299999999999999,3.7,-6.475,0.025,15,16,13,0.3455
12,-12.700000000000001,2.2999999999999994,-6.475,0.025,15,16,27,0.3438
13,-10.5,4.5,-6.475,0.025,15,16,5,0.3421
14,2.1999999999999993,-12.8,-6.475,0.025,15,16,28,0.3404
15,-11.5,13.500000000000004,-6.475,0.025,15,17,15,0.3387
16,4.4,-10.6,-6.475,0.025,15,17,6,0.3370
17,-12.0,3.0,-6.475,0.025,15,17,20,0.3353
18,-11.6,3.4000000000000004,-6.475,0.025,15,17,16,0.3336
19,2.2999999999999994,-12.700000000000001,-6.475,0.025,15,17,27,0.3320
20,-12.0,3.0,-5.956,-0.706,15,17,20,0.3303
21,2.9,-12.1,-5.956,-0.706,15,17,21,0.3286
22,-10.7,4.300000000000001,-5.956,-0.706,15,17,7,0.3270
23,2.8,-12.2,-5.956,-0.706,15,17,22,0.3254
24,-10.5,4.5,-5.956,-0.706,15,17,5,0.3237
25,-11.2,3.8000000000000007,-5.956,-0.706,15,17,12,0.3221
26,-3.700000000000001,1.2999999999999985,-5.956,-0.706,16,17,37,0.3205
27,-11.2,3.8000000000000007,-5.956,-0.706,16,17,12,0.3189
28,-11.299999999999976,-6.299999999999976,-5.956,-0.706,17,17,113,0.3173
29,-11.8,3.2,-5.956,-0.706,17,17,18,0.3157
